Yeitz,Ingles,Weinstein
0,1,0
0,0,1
0,0,0
0,15,11
0,1,44
0,0,24
0,0,17
0,0,84
0,0,1
0,1,7
0,0,0
195,52,33
54,31,0
29,0,45
0,0,12
9,6,20
49,0,119
0,0,18
0,0,21
4,0,46
0,0,4
58,0,10
0,0,8
4,0,9
0,0,0
17,0,12
3,0,22
17,1,0
0,2,5
0,0,3
33,0,0
13,0,1
75,0,0
46,1,0
46,0,102
49,0,10
0,0,19
9,2,5
8,16,3
5,0,1
0,0,0
0,4,5
0,0,3
237,0,10
0,0,18
35,0,20
15,1,19
36,2,17
344,10,18
6,1,26
0,0,1
0,33,28
21,7,0
0,0,1
71,1,5
7,19,0
1,0,0
0,2,28
74,0,61
3,2,9
2,3,16
20,0,6
0,20,3
2,0,1
0,0,0
0,0,26
0,0,66
2,11,0
32,0,100
,4,25
,1,0
,0,1
,0,36
,0,29
,6,3
,4,3
,25,73
,2,52
,0,18
,0,10
,1,13
,0,7
,0,74
,4,2
,0,3
,0,2
,0,0
,1,35
,1,5
,18,125
,7,6
,0,7
,0,12
,0,0
,15,47
,0,30
,2,5
,5,7
,0,17
,0,9
,1,1
,0,7
,3,0
,0,13
,16,4
,0,19
,64,32
,21,31
,0,59
,0,9
,0,7
,28,3
,1,44
,0,21
,79,5
,3,0
,17,8
,18,0
,57,5
,0,8
,0,6
,0,7
,0,25
,14,0
,0,1
,13,17
,0,11
,1,0
,5,4
,0,4
,0,9
,47,1
,39,0
,0,11
,37,33
,0,0
,0,18
,16,11
,1,18
,3,3
,2,2
,2,9
,0,23
,4,13
,0,9
,63,0
,25,0
,3,0
,8,0
,27,0
,25,14
,4,24
,1,3
,4,0
,38,0
,2,14
,10,11
,37,22
,14,3
,2,7
,2,0
,10,7
,0,
,2,
,0,
,0,
,0,
,1,
,2,
,71,
,9,
,12,
,11,
,0,
,59,
,2,
,1,
,3,
,176,
,0,
,18,
,0,
,28,
,31,
,25,
,0,
,210,
,0,
,56,
,18,
,23,
,0,
,18,
,54,
,6,
,76,
,41,
,36,
,27,
,51,
,13,
,50,
,1,
,0,
,1,
,0,
,22,
,22,
,1,
,21,
,0,
,1,
,0,
,99,
,0,
,0,
,0,
,0,
,3,
,0,
,0,
,0,
,0,
,0,
,1,
,2,
